iter	Passed	Remaining
416	2829	3956
417	2837	3951
418	2842	3942
419	2847	3932
420	2853	3924
421	2858	3915
422	2863	3906
423	2868	3896
424	2874	3888
425	2879	3880
426	2884	3871
427	2890	3862
428	2895	3854
429	2900	3845
430	2905	3836
431	2910	3827
432	2917	3820
433	2922	3811
434	2928	3803
435	2933	3794
436	2938	3785
437	2943	3777
438	2949	3769
439	2954	3760
440	2960	3752
441	2965	3743
442	2970	3735
443	2976	3727
444	2982	3719
445	2987	3710
446	2992	3701
447	2997	3693
448	3002	3684
449	3007	3675
450	3012	3667
451	3017	3658
452	3023	3650
453	3032	3647
454	3043	3645
455	3050	3639
456	3056	3631
457	3061	3622
458	3066	3614
459	3073	3607
460	3080	3601
461	3085	3593
462	3091	3585
463	3096	3576
464	3103	3571
465	3108	3562
466	3115	3555
467	3120	3547
468	3125	3538
469	3130	3530
470	3136	3522
471	3141	3513
472	3146	3505
473	3151	3496
474	3156	3488
475	3161	3480
476	3166	3472
477	3173	3465
478	3181	3460
479	3193	3460
480	3206	3459
481	3220	3461
482	3234	3461
483	3246	3460
484	3257	3459
485	3270	3458
486	3286	3461
487	3300	3462
488	3315	3464
489	3321	3457
490	3328	3450
491	3334	3442
492	3339	3433
493	3344	3425
494	3349	3417
495	3355	3409
496	3360	3400
497	3365	3392
498	3370	3384
499	3375	3375
500	3380	3367
501	3385	3358
502	3390	3350
503	3396	3342
504	3401	3333
505	3406	3325
506	3411	3317
507	3416	3309
508	3422	3301
509	3427	3293
510	3433	3285
511	3438	3277
512	3443	3268
513	3448	3260
514	3453	3252
515	3459	3244
516	3464	3236
517	3469	3228
518	3474	3220
519	3480	3212
520	3485	3204
521	3490	3196
522	3496	3188
523	3501	3180
524	3508	3173
525	3513	3165
526	3518	3158
527	3523	3150
528	3529	3142
529	3534	3134
530	3539	3126
531	3544	3118
532	3551	3111
533	3556	3103
534	3562	3096
535	3567	3088
536	3572	3080
537	3578	3072
538	3583	3065
539	3589	3057
540	3594	3049
541	3599	3041
542	3605	3034
543	3612	3028
544	3619	3021
545	3624	3013
546	3629	3005
547	3635	2998
548	3640	2990
549	3646	2983
550	3651	2975
551	3657	2968
552	3662	2960
553	3666	2952
554	3671	2944
555	3677	2936
556	3683	2929
557	3687	2921
558	3692	2913
559	3698	2906
560	3703	2898
561	3709	2890
562	3714	2883
563	3719	2875
564	3724	2867
565	3729	2859
566	3736	2853
567	3747	2850
568	3752	2842
569	3758	2835
570	3763	2827
571	3768	2820
572	3775	2813
573	3781	2806
574	3786	2798
575	3791	2791
576	3796	2783
577	3801	2775
578	3807	2768
579	3813	2761
580	3818	2754
581	3823	2746
582	3829	2739
583	3834	2731
584	3839	2724
585	3847	2718
586	3852	2710
587	3858	2703
588	3863	2695
589	3868	2688
590	3873	2680
591	3878	2672
592	3883	2665
593	3888	2657
594	3894	2651
595	3899	2643
596	3905	2636
597	3910	2628
598	3915	2621
599	3920	2613
600	3926	2606
601	3931	2599
602	3936	2591
603	3944	2586
604	3953	2580
605	3958	2573
606	3963	2566
607	3970	2559
608	3975	2552
609	3981	2545
610	3986	2537
611	3991	2530
612	3996	2522
613	4001	2515
614	4007	2509
615	4014	2502
616	4019	2495
617	4024	2487
618	4038	2485
619	4044	2478
620	4049	2471
621	4056	2465
622	4062	2458
623	4067	2450
624	4072	2443
625	4080	2437
626	4085	2430
627	4090	2423
628	4096	2416
629	4101	2408
630	4106	2401
631	4111	2393
632	4116	2386
633	4121	2379
634	4127	2372
635	4133	2365
636	4138	2358
637	4145	2352
638	4157	2348
639	4162	2341
640	4168	2334
641	4182	2332
642	4187	2325
643	4192	2317
644	4197	2310
645	4203	2303
646	4208	2296
647	4213	2288
648	4218	2281
649	4224	2274
650	4230	2267
651	4235	2260
652	4240	2253
653	4245	2246
654	4251	2239
655	4258	2232
656	4263	2225
657	4268	2218
658	4273	2211
659	4279	2204
660	4284	2197
661	4290	2190
662	4295	2183
663	4301	2176
664	4306	2169
665	4311	2162
666	4316	2155
667	4322	2148
668	4327	2141
669	4332	2133
670	4337	2126
671	4343	2119
672	4348	2112
673	4353	2105
674	4358	2098
675	4363	2091
676	4369	2084
677	4374	2077
678	4379	2070
679	4385	2063
680	4392	2057
681	4398	2050
682	4404	2044
683	4410	2037
684	4415	2030
685	4420	2023
686	4425	2016
687	4430	2009
688	4435	2002
689	4440	1995
690	4445	1987
691	4450	1981
692	4455	1974
693	4461	1967
694	4465	1959
695	4471	1952
696	4477	1946
697	4481	1939
698	4486	1932
699	4492	1925
700	4497	1918
701	4503	1911
702	4508	1904
703	4513	1897
704	4518	1890
705	4523	1883
706	4530	1877
707	4535	1870
708	4541	1863
709	4546	1856
710	4551	1849
711	4556	1843
712	4561	1836
713	4566	1829
714	4571	1822
715	4576	1815
716	4581	1808
717	4586	1801
718	4592	1794
719	4597	1787
720	4601	1780
721	4606	1773
722	4611	1766
723	4618	1760
724	4623	1753
725	4628	1746
726	4634	1740
727	4639	1733
728	4644	1726
729	4649	1719
730	4655	1713
731	4660	1706
732	4665	1699
733	4672	1693
734	4677	1686
735	4683	1679
736	4688	1672
737	4693	1666
738	4698	1659
739	4703	1652
740	4709	1645
741	4714	1639
742	4719	1632
743	4724	1625
744	4730	1618
745	4735	1612
746	4740	1605
747	4745	1598
748	4750	1591
749	4755	1585
750	4761	1578
751	4766	1571
752	4770	1564
753	4781	1560
754	4787	1553
755	4792	1546
756	4797	1539
757	4802	1533
758	4807	1526
759	4812	1519
760	4817	1513
761	4822	1506
762	4828	1499
763	4833	1493
764	4838	1486
765	4844	1479
766	4849	1473
767	4854	1466
768	4859	1459
769	4865	1453
770	4870	1446
771	4875	1439
772	4880	1433
773	4886	1426
774	4892	1420
775	4897	1413
776	4902	1407
777	4907	1400
778	4912	1393
779	4917	1387
780	4922	1380
781	4928	1373
782	4933	1367
783	4938	1360
784	4943	1353
785	4948	1347
786	4952	1340
787	4957	1333
788	4962	1327
789	4967	1320
790	4973	1313
791	4979	1307
792	4983	1300
793	4990	1294
794	4995	1288
795	5001	1281
796	5007	1275
797	5020	1270
798	5026	1264
799	5031	1257
800	5037	1251
801	5042	1244
802	5049	1238
803	5055	1232
804	5060	1225
805	5065	1219
806	5070	1212
807	5076	1206
808	5081	1199
809	5086	1193
810	5091	1186
811	5096	1180
812	5101	1173
813	5106	1166
814	5112	1160
815	5117	1153
816	5121	1147
817	5126	1140
818	5132	1134
819	5137	1127
820	5142	1121
821	5147	1114
822	5152	1108
823	5157	1101
824	5162	1094
825	5167	1088
826	5173	1082
827	5178	1075
828	5183	1069
829	5187	1062
830	5192	1056
831	5197	1049
832	5203	1043
833	5208	1036
834	5213	1030
835	5218	1023
836	5223	1017
837	5229	1010
838	5234	1004
839	5242	998
840	5247	992
841	5253	985
842	5259	979
843	5272	974
844	5292	970
845	5309	966
846	5322	961
847	5339	957
848	5352	952
849	5368	947
850	5384	942
851	5395	937
852	5402	931
853	5409	924
854	5416	918
855	5424	912
856	5429	906
857	5437	899
858	5451	894
859	5465	889
860	5475	883
861	5480	877
862	5485	870
863	5494	864
864	5500	858
865	5505	851
866	5510	845
867	5515	838
868	5521	832
869	5526	825
870	5530	819
871	5535	812
872	5541	806
873	5546	799
874	5552	793
875	5557	786
876	5562	780
877	5567	773
878	5572	767
879	5578	760
880	5584	754
881	5589	747
882	5596	741
883	5601	735
884	5607	728
885	5612	722
886	5617	715
887	5622	709
888	5627	702
889	5633	696
890	5638	689
891	5643	683
892	5648	676
893	5653	670
894	5658	663
895	5663	657
896	5669	650
897	5673	644
898	5678	638
899	5683	631
900	5689	625
901	5694	618
902	5699	612
903	5705	605
904	5710	599
905	5716	593
906	5721	586
907	5726	580
908	5733	574
909	5738	567
910	5744	561
911	5750	554
912	5755	548
913	5760	541
914	5765	535
915	5770	529
916	5775	522
917	5781	516
918	5786	509
919	5791	503
920	5796	497
921	5803	490
922	5808	484
923	5813	478
924	5818	471
925	5824	465
926	5829	459
927	5834	452
928	5839	446
929	5844	439
930	5850	433
931	5855	427
932	5860	420
933	5866	414
934	5870	408
935	5876	401
936	5881	395
937	5886	389
938	5891	382
939	5898	376
940	5903	370
941	5908	363
942	5913	357
943	5918	351
944	5923	344
945	5928	338
946	5933	332
947	5939	325
948	5945	319
949	5950	313
950	5956	306
951	5961	300
952	5966	294
953	5972	287
954	5981	281
955	5988	275
956	5994	269
957	6003	263
958	6024	257
959	6032	251
960	6039	245
961	6045	238
962	6052	232
963	6058	226
964	6065	219
965	6072	213
966	6079	207
967	6090	201
968	6099	195
969	6105	188
970	6111	182
971	6118	176
972	6125	169
973	6131	163
974	6140	157
975	6153	151
976	6163	145
977	6168	138
978	6173	132
979	6177	126
980	6183	119
981	6187	113
982	6193	107
983	6201	100
984	6213	94
985	6222	88
986	6234	82
987	6246	75
988	6256	69
989	6261	63
990	6267	56
991	6278	50
992	6283	44
993	6288	37
994	6294	31
995	6299	25
996	6305	18
997	6310	12
998	6325	6
999	6330	0
